game_id,Position,Ref,Date_Fetched
0022000003,official1,Josh Tiven,2021-03-01
0022000003,official2,Nick Buchert,2021-03-01
0022000003,official3,Jason Goldenberg,2021-03-01
0022000004,official1,Kane Fitzgerald,2021-03-01
0022000004,official2,Michael Smith,2021-03-01
0022000004,official3,Eric Dalen,2021-03-01
0022000010,official1,David Guthrie,2021-03-01
0022000010,official2,JB DeRosa,2021-03-01
0022000010,official3,Andy Nagy,2021-03-01
0022000011,official1,Curtis Blair,2021-03-01
0022000011,official2,Scott Twardoski,2021-03-01
0022000011,official3,Natalie Sago,2021-03-01
0022000012,official1,Eric Lewis,2021-03-01
0022000012,official2,Scott Wall,2021-03-01
0022000012,official3,Brandon Schwab,2021-03-01
0022000013,official1,James Williams,2021-03-01
0022000013,official2,Mitchell Ervin,2021-03-01
0022000013,official3,Evan Scott,2021-03-01
0022000014,official1,John Goble,2021-03-01
0022000014,official2,Brent Barnaky,2021-03-01
0022000014,official3,Dannica Mosher,2021-03-01
0022000015,official1,Marc Davis,2021-03-01
0022000015,official2,Marat Kogut,2021-03-01
0022000015,official3,Simone Jelks,2021-03-01
0022000016,official1,Scott Foster,2021-03-01
0022000016,official2,JT Orr,2021-03-01
0022000016,official3,CJ Washington,2021-03-01
0022000017,official1,James Capers,2021-03-01
0022000017,official2,Jacyn Goble,2021-03-01
0022000017,official3,Robert Hussey,2021-03-01
0022000018,official1,Mark Ayotte,2021-03-01
0022000018,official2,Tyler Ford,2021-03-01
0022000018,official3,Justin Van Duyne,2021-03-01
0022000019,official1,Tony Brown,2021-03-01
0022000019,official2,Derrick Collins,2021-03-01
0022000019,official3,John Butler,2021-03-01
0022000020,official1,Ken Mauer,2021-03-01
0022000020,official2,Bill Spooner,2021-03-01
0022000020,official3,Mousa Dagher,2021-03-01
0022000005,official1,John Goble,2021-03-01
0022000005,official2,James Williams,2021-03-01
0022000005,official3,Brent Barnaky,2021-03-01
0022000006,official1,Marc Davis,2021-03-01
0022000006,official2,Mark Ayotte,2021-03-01
0022000006,official3,JT Orr,2021-03-01
0022000007,official1,Josh Tiven,2021-03-01
0022000007,official2,Curtis Blair,2021-03-01
0022000007,official3,Mitchell Ervin,2021-03-01
0022000008,official1,Scott Foster,2021-03-01
0022000008,official2,Kevin Cutler,2021-03-01
0022000008,official3,Brandon Adair,2021-03-01
0022000009,official1,Kane Fitzgerald,2021-03-01
0022000009,official2,Derrick Collins,2021-03-01
0022000009,official3,Justin Van Duyne,2021-03-01
0022000021,official1,James Capers,2021-03-01
0022000021,official2,Michael Smith,2021-03-01
0022000021,official3,Robert Hussey,2021-03-01
0022000022,official1,David Guthrie,2021-03-01
0022000022,official2,Gediminas Petraitis,2021-03-01
0022000022,official3,Dannica Mosher,2021-03-01
0022000023,official1,Courtney Kirkland,2021-03-01
0022000023,official2,Brian Forte,2021-03-01
0022000023,official3,Ashley Moyer-Gleich,2021-03-01
0022000024,official1,Rodney Mott,2021-03-01
0022000024,official2,Ben Taylor,2021-03-01
0022000024,official3,Evan Scott,2021-03-01
0022000025,official1,Zach Zarba,2021-03-01
0022000025,official2,Scott Wall,2021-03-01
0022000025,official3,John Conley,2021-03-01
0022000026,official1,Tony Brothers,2021-03-01
0022000026,official2,Dedric Taylor,2021-03-01
0022000026,official3,Andy Nagy,2021-03-01
0022000027,official1,Eric Lewis,2021-03-01
0022000027,official2,Marat Kogut,2021-03-01
0022000027,official3,CJ Washington,2021-03-01
0022000028,official1,Tony Brown,2021-03-01
0022000028,official2,Leon Wood,2021-03-01
0022000028,official3,Matt Myers,2021-03-01
0022000029,official1,Ken Mauer,2021-03-01
0022000029,official2,Bill Spooner,2021-03-01
0022000029,official3,John Butler,2021-03-01
0022000030,official1,Bill Kennedy,2021-03-01
0022000030,official2,Nick Buchert,2021-03-01
0022000030,official3,Derek Richardson,2021-03-01
0022000031,official1,Marc Davis,2021-03-01
0022000031,official2,Derrick Collins,2021-03-01
0022000031,official3,Nate Green,2021-03-01
0022000032,official1,Sean Wright,2021-03-01
0022000032,official2,JT Orr,2021-03-01
0022000032,official3,Jason Goldenberg,2021-03-01
0022000033,official1,Rodney Mott,2021-03-01
0022000033,official2,Ben Taylor,2021-03-01
0022000033,official3,Haywoode Workman,2021-03-01
0022000034,official1,Curtis Blair,2021-03-01
0022000034,official2,Aaron Smith,2021-03-01
0022000034,official3,Jonathan Sterling,2021-03-01
0022000035,official1,Ed Malloy,2021-03-01
0022000035,official2,Scott Twardoski,2021-03-01
0022000035,official3,Natalie Sago,2021-03-01
0022000036,official1,Zach Zarba,2021-03-01
0022000036,official2,Scott Wall,2021-03-01
0022000036,official3,Evan Scott,2021-03-01
0022000037,official1,Kane Fitzgerald,2021-03-01
0022000037,official2,Mark Ayotte,2021-03-01
0022000037,official3,Ashley Moyer-Gleich,2021-03-01
0022000038,official1,Tony Brothers,2021-03-01
0022000038,official2,Dedric Taylor,2021-03-01
0022000038,official3,Suyash Mehta,2021-03-01
0022000039,official1,Tony Brown,2021-03-01
0022000039,official2,Nick Buchert,2021-03-01
0022000039,official3,Brandon Adair,2021-03-01
0022000040,official1,Scott Foster,2021-03-01
0022000040,official2,Kevin Cutler,2021-03-01
0022000040,official3,Mousa Dagher,2021-03-01
0022000041,official1,Eric Lewis,2021-03-01
0022000041,official2,Curtis Blair,2021-03-01
0022000041,official3,CJ Washington,2021-03-01
0022000042,official1,Courtney Kirkland,2021-03-01
0022000042,official2,Gediminas Petraitis,2021-03-01
0022000042,official3,Jenna Schroeder,2021-03-01
0022000043,official1,James Capers,2021-03-01
0022000043,official2,Brian Forte,2021-03-01
0022000043,official3,Matt Myers,2021-03-01
0022000044,official1,Ken Mauer,2021-03-01
0022000044,official2,Bill Spooner,2021-03-01
0022000044,official3,Derek Richardson,2021-03-01
0022000045,official1,Marc Davis,2021-03-01
0022000045,official2,Derrick Collins,2021-03-01
0022000045,official3,Nate Green,2021-03-01
0022000046,official1,Ed Malloy,2021-03-01
0022000046,official2,Scott Twardoski,2021-03-01
0022000046,official3,Ashley Moyer-Gleich,2021-03-01
0022000047,official1,Rodney Mott,2021-03-01
0022000047,official2,Ben Taylor,2021-03-01
0022000047,official3,Lauren Holtkamp,2021-03-01
0022000048,official1,Zach Zarba,2021-03-01
0022000048,official2,Karl Lane,2021-03-01
0022000048,official3,Suyash Mehta,2021-03-01
0022000049,official1,Tony Brothers,2021-03-01
0022000049,official2,Gediminas Petraitis,2021-03-01
0022000049,official3,Simone Jelks,2021-03-01
0022000050,official1,Kevin Scott,2021-03-01
0022000050,official2,Mitchell Ervin,2021-03-01
0022000050,official3,Haywoode Workman,2021-03-01
0022000051,official1,David Guthrie,2021-03-01
0022000051,official2,Marat Kogut,2021-03-01
0022000051,official3,Justin Van Duyne,2021-03-01
0022000052,official1,Brian Forte,2021-03-01
0022000052,official2,Tyler Ford,2021-03-01
0022000052,official3,Jonathan Sterling,2021-03-01
0022000053,official1,Sean Wright,2021-03-01
0022000053,official2,Mark Ayotte,2021-03-01
0022000053,official3,Mousa Dagher,2021-03-01
0022000054,official1,Scott Foster,2021-03-01
0022000054,official2,Kevin Cutler,2021-03-01
0022000054,official3,Brandon Adair,2021-03-01
0022000055,official1,Bill Kennedy,2021-03-01
0022000055,official2,Leon Wood,2021-03-01
0022000055,official3,Phenizee Ransom,2021-03-01
0022000056,official1,Eric Lewis,2021-03-01
0022000056,official2,Aaron Smith,2021-03-01
0022000056,official3,Natalie Sago,2021-03-01
0022000057,official1,James Capers,2021-03-01
0022000057,official2,Scott Wall,2021-03-01
0022000057,official3,Jason Goldenberg,2021-03-01
0022000058,official1,David Guthrie,2021-03-01
0022000058,official2,Marat Kogut,2021-03-01
0022000058,official3,Matt Myers,2021-03-01
0022000059,official1,Ken Mauer,2021-03-01
0022000059,official2,Matt Boland,2021-03-01
0022000059,official3,Mousa Dagher,2021-03-01
0022000060,official1,Tony Brown,2021-03-01
0022000060,official2,Curtis Blair,2021-03-01
0022000060,official3,Derek Richardson,2021-03-01
0022000061,official1,Scott Foster,2021-03-01
0022000061,official2,Nick Buchert,2021-03-01
0022000061,official3,Phenizee Ransom,2021-03-01
0022000062,official1,Josh Tiven,2021-03-01
0022000062,official2,Jacyn Goble,2021-03-01
0022000062,official3,Suyash Mehta,2021-03-01
0022000063,official1,Zach Zarba,2021-03-01
0022000063,official2,Tyler Ford,2021-03-01
0022000063,official3,Simone Jelks,2021-03-01
0022000064,official1,Kevin Scott,2021-03-01
0022000064,official2,Scott Twardoski,2021-03-01
0022000064,official3,Matt Myers,2021-03-01
0022000065,official1,Marc Davis,2021-03-01
0022000065,official2,Mitchell Ervin,2021-03-01
0022000065,official3,Danielle Scott,2021-03-01
0022000066,official1,Rodney Mott,2021-03-01
0022000066,official2,Justin Van Duyne,2021-03-01
0022000066,official3,Ashley Moyer-Gleich,2021-03-01
0022000067,official1,John Goble,2021-03-01
0022000067,official2,Jonathan Sterling,2021-03-01
0022000067,official3,Brandon Adair,2021-03-01
0022000068,official1,Bill Kennedy,2021-03-01
0022000068,official2,Karl Lane,2021-03-01
0022000068,official3,Nate Green,2021-03-01
0022000069,official1,Brian Forte,2021-03-01
0022000069,official2,Aaron Smith,2021-03-01
0022000069,official3,Ashley Moyer-Gleich,2021-03-01
0022000070,official1,James Capers,2021-03-01
0022000070,official2,Scott Wall,2021-03-01
0022000070,official3,Suyash Mehta,2021-03-01
0022000071,official1,Ken Mauer,2021-03-01
0022000071,official2,Matt Boland,2021-03-01
0022000071,official3,Derek Richardson,2021-03-01
0022000072,official1,Curtis Blair,2021-03-01
0022000072,official2,Tyler Ford,2021-03-01
0022000072,official3,Jenna Schroeder,2021-03-01
0022000073,official1,Ben Taylor,2021-03-01
0022000073,official2,Leon Wood,2021-03-01
0022000073,official3,Natalie Sago,2021-03-01
0022000074,official1,Tony Brothers,2021-03-01
0022000074,official2,Eric Dalen,2021-03-01
0022000074,official3,Lauren Holtkamp,2021-03-01
0022000075,official1,John Goble,2021-03-01
0022000075,official2,Brandon Adair,2021-03-01
0022000075,official3,Leroy Richardson,2021-03-01
0022000076,official1,Sean Wright,2021-03-01
0022000076,official2,James Williams,2021-03-01
0022000076,official3,Phenizee Ransom,2021-03-01
0022000077,official1,Bill Kennedy,2021-03-01
0022000077,official2,Karl Lane,2021-03-01
0022000077,official3,Mousa Dagher,2021-03-01
0022000078,official1,Scott Foster,2021-03-01
0022000078,official2,Mark Ayotte,2021-03-01
0022000078,official3,Nate Green,2021-03-01
0022000079,official1,Marc Davis,2021-03-01
0022000079,official2,Mitchell Ervin,2021-03-01
0022000079,official3,John Butler,2021-03-01
0022000080,official1,Josh Tiven,2021-03-01
0022000080,official2,Jacyn Goble,2021-03-01
0022000080,official3,Simone Jelks,2021-03-01
0022000081,official1,Kevin Scott,2021-03-01
0022000081,official2,Scott Twardoski,2021-03-01
0022000081,official3,John Conley,2021-03-01
0022000082,official1,Eric Lewis,2021-03-01
0022000082,official2,Curtis Blair,2021-03-01
0022000082,official3,Evan Scott,2021-03-01
0022000083,official1,Courtney Kirkland,2021-03-01
0022000083,official2,Aaron Smith,2021-03-01
0022000083,official3,Danielle Scott,2021-03-01
0022000084,official1,Rodney Mott,2021-03-01
0022000084,official2,Jonathan Sterling,2021-03-01
0022000084,official3,Leroy Richardson,2021-03-01
0022000085,official1,James Capers,2021-03-01
0022000085,official2,Scott Wall,2021-03-01
0022000085,official3,Andy Nagy,2021-03-01
0022000086,official1,Josh Tiven,2021-03-01
0022000086,official2,Gediminas Petraitis,2021-03-01
0022000086,official3,Evan Scott,2021-03-01
0022000087,official1,Brian Forte,2021-03-01
0022000087,official2,JB DeRosa,2021-03-01
0022000087,official3,Lauren Holtkamp,2021-03-01
0022000088,official1,Tony Brothers,2021-03-01
0022000088,official2,Eric Dalen,2021-03-01
0022000088,official3,Natalie Sago,2021-03-01
0022000089,official1,John Goble,2021-03-01
0022000089,official2,Dedric Taylor,2021-03-01
0022000089,official3,Phenizee Ransom,2021-03-01
0022000090,official1,Ben Taylor,2021-03-01
0022000090,official2,Leon Wood,2021-03-01
0022000090,official3,Jacyn Goble,2021-03-01
0022000091,official1,James Williams,2021-03-01
0022000091,official2,Derrick Collins,2021-03-01
0022000091,official3,Derek Richardson,2021-03-01
0022000092,official1,Bill Kennedy,2021-03-01
0022000092,official2,Mark Ayotte,2021-03-01
0022000092,official3,Mousa Dagher,2021-03-01
0022000093,official1,Sean Corbin,2021-03-01
0022000093,official2,Gediminas Petraitis,2021-03-01
0022000093,official3,Haywoode Workman,2021-03-01
0022000094,official1,Ed Malloy,2021-03-01
0022000094,official2,Marat Kogut,2021-03-01
0022000094,official3,Jason Goldenberg,2021-03-01
0022000095,official1,Brian Forte,2021-03-01
0022000095,official2,JB DeRosa,2021-03-01
0022000095,official3,Phenizee Ransom,2021-03-01
0022000096,official1,Kane Fitzgerald,2021-03-01
0022000096,official2,Aaron Smith,2021-03-01
0022000096,official3,Brandon Schwab,2021-03-01
0022000097,official1,Kevin Scott,2021-03-01
0022000097,official2,Mitchell Ervin,2021-03-01
0022000097,official3,Jenna Schroeder,2021-03-01
0022000098,official1,John Goble,2021-03-01
0022000098,official2,Dedric Taylor,2021-03-01
0022000098,official3,Jonathan Sterling,2021-03-01
0022000099,official1,Ben Taylor,2021-03-01
0022000099,official2,Matt Boland,2021-03-01
0022000099,official3,Nate Green,2021-03-01
0022000100,official1,Courtney Kirkland,2021-03-01
0022000100,official2,Tyler Ford,2021-03-01
0022000100,official3,John Butler,2021-03-01
0022000101,official1,Sean Wright,2021-03-01
0022000101,official2,Karl Lane,2021-03-01
0022000101,official3,Leroy Richardson,2021-03-01
0022000102,official1,Tony Brown,2021-03-01
0022000102,official2,Leon Wood,2021-03-01
0022000102,official3,Evan Scott,2021-03-01
0022000103,official1,Tony Brothers,2021-03-01
0022000103,official2,Jacyn Goble,2021-03-01
0022000103,official3,Jonathan Sterling,2021-03-01
0022000104,official1,Tre Maddox,2021-03-01
0022000104,official2,Nick Buchert,2021-03-01
0022000104,official3,Robert Hussey,2021-03-01
0022000105,official1,Mark Ayotte,2021-03-01
0022000105,official2,Michael Smith,2021-03-01
0022000105,official3,Danielle Scott,2021-03-01
0022000106,official1,James Williams,2021-03-01
0022000106,official2,Derrick Collins,2021-03-01
0022000106,official3,Mousa Dagher,2021-03-01
0022000107,official1,Ben Taylor,2021-03-01
0022000107,official2,Aaron Smith,2021-03-01
